date,latitude,longitude,depth,magnitude,magnitude_type,MD,ML,Mw,Ms,location,provider
2025-11-19T13:47:12,38.112,36.6203,5.9,2.0,ML,,2.0,,,KANLIKAVAK-GOKSUN (KAHRAMANMARAS),KOERI
2025-11-19T13:38:19,39.1958,28.2035,16.8,2.1,ML,,2.1,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-19T13:30:27,39.1985,28.8728,3.7,1.4,ML,,1.4,,,AKDAG-SIMAV (KUTAHYA),KOERI
2025-11-19T13:29:30,39.2322,29.0673,12.8,1.6,ML,,1.6,,,KATRANDAGI-EMET (KUTAHYA),KOERI
2025-11-19T13:27:56,35.1992,33.2878,5.0,1.2,ML,,1.2,,,KIBRIS-LEFKOSA,KOERI
2025-11-19T13:08:05,39.1763,28.1657,11.7,1.4,ML,,1.4,,,SINANDEDE-SINDIRGI (BALIKESIR),KOERI
2025-11-19T12:40:40,39.2435,28.9722,15.9,1.2,ML,,1.2,,,YEMISLI-SIMAV (KUTAHYA),KOERI
2025-11-19T12:38:11,39.2475,28.1047,9.2,2.3,ML,,2.3,,,KOZLU-SINDIRGI (BALIKESIR),KOERI
2025-11-19T12:15:28,39.1667,28.227,9.0,1.7,ML,,1.7,,,BAYRAKLI-SINDIRGI (BALIKESIR),KOERI
2025-11-19T12:11:41,39.0632,28.2522,12.1,1.5,ML,,1.5,,,DUTLUCA-GORDES (MANISA),KOERI
2025-11-19T12:09:10,39.2077,28.1405,9.3,2.3,ML,,2.3,,,MANDIRA-SINDIRGI (BALIKESIR),KOERI
2025-11-19T12:06:05,39.1702,28.2512,14.3,1.3,ML,,1.3,,,BAYRAKLI-SINDIRGI (BALIKESIR),KOERI
2025-11-19T11:55:34,39.1953,28.1892,10.5,1.8,ML,,1.8,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-19T11:54:22,39.1545,28.1578,11.8,1.5,ML,,1.5,,,SINANDEDE-SINDIRGI (BALIKESIR),KOERI
2025-11-19T11:53:57,38.0917,36.6482,8.6,2.2,ML,,2.2,,,KANLIKAVAK-GOKSUN (KAHRAMANMARAS),KOERI
2025-11-19T11:49:19,39.2372,28.1107,6.0,1.6,ML,,1.6,,,BAYIRLI-SINDIRGI (BALIKESIR),KOERI
2025-11-19T11:49:06,38.0897,28.9498,18.0,1.5,ML,,1.5,,,HAMDIYE-GUNEY (DENIZLI),KOERI
2025-11-19T11:37:32,39.054,28.2598,14.6,1.3,ML,,1.3,,,DUTLUCA-GORDES (MANISA),KOERI
